Product Key,Order Date Key,Reseller Key,Employee Key,Promotion Key,Unit Price,Product Standard Cost,Total Product Cost,Sales Amount,Tax Amt,Freight
349,20180105,676,285,1,2024.99,1898.09,1898.09,2024.99,162.00,50.62
350,20180105,676,285,1,2024.99,1898.09,5694.28,6074.98,486.00,151.87
351,20180105,676,285,1,2024.99,1898.09,1898.09,2024.99,162.00,50.62
344,20180105,676,285,1,2039.99,1912.15,1912.15,2039.99,163.20,51.00
345,20180105,676,285,1,2039.99,1912.15,1912.15,2039.99,163.20,51.00
346,20180105,676,285,1,2039.99,1912.15,3824.31,4079.99,326.40,102.00
347,20180105,676,285,1,2039.99,1912.15,1912.15,2039.99,163.20,51.00
229,20180105,676,285,1,28.84,31.72,95.17,86.52,6.92,2.16
235,20180105,676,285,1,28.84,31.72,31.72,28.84,2.31,0.72
218,20180105,676,285,1,5.70,3.40,20.38,34.20,2.74,0.86
223,20180105,676,285,1,5.19,5.71,11.41,10.37,0.83,0.26
220,20180105,676,285,1,20.19,12.03,48.11,80.75,6.46,2.02
326,20180105,117,285,1,419.46,413.15,413.15,419.46,33.56,10.49
319,20180105,117,285,1,874.79,884.71,884.71,874.79,69.98,21.87
300,20180105,442,288,1,809.76,699.09,699.09,809.76,64.78,20.24
296,20180105,442,288,1,714.70,617.03,617.03,714.70,57.18,17.87
304,20180105,442,288,1,714.70,617.03,1234.06,1429.41,114.35,35.74
223,20180105,442,288,1,5.19,5.71,22.82,20.75,1.66,0.52
232,20180105,442,288,1,28.84,31.72,126.90,115.36,9.23,2.88
293,20180105,442,288,1,722.59,623.84,1247.68,1445.19,115.62,36.13
348,20180105,442,288,1,2024.99,1898.09,5694.28,6074.98,486.00,151.87
351,20180105,442,288,1,2024.99,1898.09,3796.19,4049.99,324.00,101.25
220,20180105,442,288,1,20.19,12.03,24.06,40.37,3.23,1.01
292,20180105,442,288,1,818.70,706.81,1413.62,1637.40,130.99,40.94
349,20180105,442,288,1,2024.99,1898.09,7592.38,8099.98,648.00,202.50
346,20180105,442,288,1,2039.99,1912.15,3824.31,4079.99,326.40,102.00
235,20180105,442,288,1,28.84,31.72,63.45,57.68,4.61,1.44
350,20180105,442,288,1,2024.99,1898.09,3796.19,4049.99,324.00,101.25
215,20180105,442,288,1,20.19,12.03,60.14,100.93,8.07,2.52
330,20180105,227,288,1,419.46,413.15,1239.44,1258.38,100.67,31.46
